"Label","Type","Log","ID","equ","numCoeff","adj.r.sq","AIC","diffAIC","probAIC","rankAIC","rankRsq","shortAIC","shortRsq","shortBoth","selected","diffAICAll","probAICAll","rankAICAll","rankRsqAll","shortAICAll","shortRsqAll"
"None","none",FALSE,1,"Age_4 ~ -1 + Age_3",1,0.768,438.917,-1.01999999999998,0.600495578812271,3,7,FALSE,FALSE,FALSE,FALSE,-11.391,0.00336105623080428,41,52,FALSE,FALSE
"None","none",FALSE,2,"Age_4 ~ -1 + Age_3 + Cov_ONI1",2,0.782,438.406,-0.509000000000015,0.775304053090764,2,3,TRUE,TRUE,TRUE,FALSE,-10.88,0.00433948327073891,40,43,FALSE,FALSE
"None","none",FALSE,3,"Age_4 ~ -1 + Age_3 + Cov_ONI2",2,0.767,440.015,-2.11799999999999,0.346802439426051,5,9,FALSE,FALSE,FALSE,FALSE,-12.489,0.00194110088569936,53,62,FALSE,FALSE
"None","none",FALSE,4,"Age_4 ~ -1 + Age_3 + Cov_PDO",2,0.761,440.631,-2.73399999999998,0.254870425057119,7,10,FALSE,FALSE,FALSE,FALSE,-13.105,0.00142654477470144,58,68,FALSE,FALSE
"None","none",FALSE,5,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_ONI2",3,0.772,440.394,-2.49700000000001,0.286934876534594,6,5,FALSE,FALSE,FALSE,FALSE,-12.868,0.00160601391357313,56,49,FALSE,FALSE
"None","none",FALSE,6,"Age_4 ~ -1 + Age_3 + Cov_ONI1 + Cov_PDO",3,0.78,439.48,-1.58300000000003,0.453164538409629,4,4,FALSE,FALSE,FALSE,FALSE,-11.954,0.00253642416221251,49,44,FALSE,FALSE
"None","none",FALSE,7,"Age_4 ~ -1 + Age_3 + Cov_ONI2 + Cov_PDO",3,0.758,441.819,-3.92200000000003,0.140717632905862,11,12,FALSE,FALSE,FALSE,FALSE,-14.293,0.000787615918501434,69,72,FALSE,FALSE
"None","none",FALSE,8,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_ONI2",4,0.761,442.327,-4.43000000000001,0.109153514248464,12,10,FALSE,FALSE,FALSE,FALSE,-14.801,0.000610947211142874,72,68,FALSE,FALSE
"None","none",FALSE,9,"Age_4 ~ -1 + Age_3 + Cov_ONI1 * Cov_PDO",4,0.801,437.897,0,1,1,1,TRUE,TRUE,TRUE,TRUE,-10.371,0.00559713734687633,38,37,FALSE,FALSE
"None","none",FALSE,10,"Age_4 ~ -1 + Age_3 + Cov_ONI2 * Cov_PDO",4,0.768,441.641,-3.74400000000003,0.153815722533427,9,7,FALSE,FALSE,FALSE,FALSE,-14.115,0.000860927725128612,67,52,FALSE,FALSE
